id,keiei-pos,keiei-neu,keiei-neg,risk-pos,risk-neu,risk-neg,money-pos,money-neu,money-neg,contract-pos,contract-neu,contract-neg,reserch-pos,reserch-neu,reserch-neg
99,0.04,0.96,0.0,0.04,0.96,0.0,0.03,0.97,0.0,0.21,0.67,0.12,0.21,0.67,0.12
100,0.05,0.94,0.01,0.04,0.96,0.0,0.03,0.97,0.0,0.01,0.99,0.0,0.1,0.88,0.02
101,0.05,0.94,0.01,0.01,0.99,0.0,0.01,0.99,0.0,0.12,0.84,0.04,0.01,0.99,0.0
102,0.02,0.98,0.0,0.03,0.97,0.0,0.03,0.96,0.01,0.2,0.71,0.09,0.21,0.67,0.12
103,0.14,0.83,0.03,0.03,0.97,0.0,0.04,0.95,0.01,0.02,0.96,0.02,0.28,0.64,0.08
104,0.05,0.94,0.01,0.05,0.94,0.01,0.1,0.86,0.04,0.21,0.67,0.12,0.21,0.67,0.12
105,0.68,0.3,0.02,0.03,0.97,0.0,0.04,0.93,0.03,0.0,1.0,0.0,0.04,0.94,0.02
106,0.04,0.95,0.01,0.04,0.96,0.0,0.05,0.94,0.01,0.07,0.91,0.02,0.02,0.98,0.0
107,0.52,0.47,0.01,0.02,0.98,0.0,0.06,0.93,0.01,0.06,0.92,0.02,0.05,0.95,0.0
108,0.04,0.95,0.01,0.05,0.95,0.0,0.03,0.96,0.01,0.0,1.0,0.0,0.04,0.96,0.0
109,0.02,0.97,0.01,0.02,0.96,0.02,0.01,0.98,0.01,0.0,1.0,0.0,0.0,0.99,0.01
110,0.03,0.97,0.0,0.03,0.96,0.01,0.08,0.9,0.02,0.12,0.84,0.04,0.21,0.67,0.12
111,0.04,0.95,0.01,0.03,0.97,0.0,0.02,0.98,0.0,0.02,0.97,0.01,0.05,0.94,0.01
112,0.04,0.95,0.01,0.05,0.94,0.01,0.02,0.98,0.0,0.2,0.71,0.09,0.21,0.67,0.12
113,0.06,0.93,0.01,0.05,0.94,0.01,0.05,0.94,0.01,0.2,0.71,0.09,0.21,0.67,0.12
114,0.03,0.96,0.01,0.03,0.42,0.55,0.03,0.97,0.0,0.21,0.67,0.12,0.21,0.67,0.12
115,0.04,0.96,0.0,0.07,0.92,0.01,0.01,0.99,0.0,0.2,0.71,0.09,0.21,0.67,0.12
116,0.05,0.94,0.01,0.04,0.96,0.0,0.03,0.96,0.01,0.14,0.83,0.03,0.06,0.94,0.0
117,0.06,0.93,0.01,0.05,0.94,0.01,0.04,0.95,0.01,0.2,0.71,0.09,0.21,0.67,0.12
118,0.02,0.98,0.0,0.03,0.97,0.0,0.04,0.94,0.02,0.21,0.67,0.12,0.05,0.94,0.01
119,0.08,0.91,0.01,0.09,0.9,0.01,0.07,0.91,0.02,0.01,0.99,0.0,0.06,0.93,0.01
120,0.03,0.97,0.0,0.04,0.95,0.01,0.02,0.97,0.01,0.0,1.0,0.0,0.07,0.92,0.01
121,0.04,0.94,0.02,0.02,0.98,0.0,0.02,0.97,0.01,0.12,0.84,0.04,0.03,0.97,0.0
122,0.06,0.93,0.01,0.07,0.92,0.01,0.02,0.98,0.0,0.0,1.0,0.0,0.02,0.98,0.0
123,0.05,0.95,0.0,0.04,0.96,0.0,0.03,0.96,0.01,0.07,0.92,0.01,0.04,0.95,0.01
124,0.03,0.96,0.01,0.07,0.92,0.01,0.01,0.99,0.0,0.03,0.96,0.01,0.03,0.96,0.01
125,0.03,0.96,0.01,0.05,0.95,0.0,0.03,0.96,0.01,0.0,1.0,0.0,0.05,0.94,0.01
126,0.08,0.91,0.01,0.03,0.97,0.0,0.04,0.96,0.0,0.2,0.71,0.09,0.21,0.67,0.12
127,0.09,0.88,0.03,0.05,0.95,0.0,0.02,0.97,0.01,0.0,1.0,0.0,0.03,0.96,0.01
128,0.02,0.98,0.0,0.03,0.97,0.0,0.01,0.98,0.01,0.04,0.96,0.0,0.04,0.95,0.01
129,0.03,0.97,0.0,0.03,0.97,0.0,0.02,0.97,0.01,0.0,1.0,0.0,0.03,0.97,0.0
130,0.05,0.94,0.01,0.04,0.95,0.01,0.01,0.99,0.0,0.0,1.0,0.0,0.0,1.0,0.0
131,0.04,0.96,0.0,0.01,0.99,0.0,0.02,0.98,0.0,0.21,0.67,0.12,0.06,0.93,0.01
132,0.04,0.96,0.0,0.06,0.93,0.01,0.01,0.98,0.01,0.01,0.99,0.0,0.02,0.97,0.01
133,0.03,0.97,0.0,0.07,0.92,0.01,0.05,0.94,0.01,0.01,0.99,0.0,0.46,0.43,0.11
134,0.0,1.0,0.0,0.03,0.97,0.0,0.03,0.96,0.01,0.2,0.71,0.09,0.02,0.98,0.0
135,0.06,0.93,0.01,0.04,0.95,0.01,0.02,0.97,0.01,0.0,1.0,0.0,0.01,0.99,0.0
